,similarity,word1,word2
0,3.791666667,доступ к,шлюз
1,2.0,счёт,объяснение
2,3.75,счёт,счет-фактура
3,3.6818181819999998,счёт,заявление
4,1.2272727270000001,акустический,средство
5,2.739130435,акрил,ткань
6,2.0,действие,регулировка
7,1.5833333330000001,действие,вход
8,4.083333333,деятельность,событие
9,2.6818181819999998,деятельность,музыка
10,3.45,деятельность,катание на лыжа
11,2.5,дополнение,сегмент
12,4.608695652,клеить,клеить
13,2.47826087,взрослый,стоматолог
14,2.782608696,взрослый,врач
15,1.0,днём,вещество
16,3.782608696,возраст,детство
17,2.916666667,агентство,армия
18,3.857142857,агентство,офис
19,3.19047619,агентство,полиция
20,4.0,агент,шпион
21,4.476190476,соглашение,договор
22,4.3636363639999995,цель,цель
23,2.869565217,самолёт,воздушный шар
24,2.434782609,самолёт,яхта
25,3.458333333,сигнализация,рог
26,2.0,сигнализация,пресс
27,1.863636364,алгоритм,поиск
28,3.428571429,иностранец,незнакомец
29,3.954545455,сплав,металл
30,3.5,алфавит,сценарий
31,1.608695652,алюминий,кислород
32,1.9583333330000001,сумма,расстояние
33,4.1363636360000005,сумма,количество
34,1.434782609,сумма,сезон
35,2.6,развлечение,легкая атлетик
36,4.041666667,развлечение,играть
37,1.454545455,развлечение,процедура
38,2.565217391,анатомия,создание
39,2.0,животный,флор
40,2.72,животный,червь
41,4.227272727,лодыжка,совместный
42,3.727272727,юбилей,день рождение
43,2.44,ответ,заявление
44,4.227272727,одежда,платье
45,2.52173913,внешний вид,тень
46,1.125,яблоко,банк
47,3.47826087,яблоко,оранжевый
48,2.0434782609999997,яблоко,стручок
49,3.333333333,прибор,сушилка
50,4.227272727,прибор,холодильник
51,1.6521739130000002,подход,качели
52,2.8636363639999995,утверждение,поощрение
53,2.0,об утверждение,взаимодействие
54,3.347826087,дуга,радуга
55,3.25,архитектура,технический
56,2.545454545,площадь,патио
57,4.318181818,площадь,область
58,3.045454545,аргумент,доказательство
59,1.772727273,аргумент,индикация
60,2.230769231,рука,стрелка
61,2.772727273,рука,ракета
62,1.913043478,броня,почта
63,3.285714286,армия,легион
64,4.681818182,аромат,аромат
65,4.19047619,аромат,запах
66,1.25,расположение,пурга
67,2.3809523809999997,расположение,номер
68,1.208333333,статья,девушка
69,3.541666667,артиллерия,пистолет
70,2.791666667,аспен,кленовый
71,4.85,жопа,ослик
72,3.3636363639999995,сборка,толпа
73,4.090909091,актив,капитал
74,3.47826087,актив,кредит
75,4.038461538,актив,доход
76,4.3623188410000004,ассоциация,организация
77,3.458333333,спортсмен,участник
78,3.826086957,легкая атлетик,гонка
79,3.45,легкая атлетик,плавание
80,1.486486486,отношение,уведомление
81,1.88,отношение,исследование
82,4.681818182,адвокат,адвокат
83,1.565217391,привлечение,давление
84,2.347826087,привлечение,качество
85,2.576923077,атрибут,состояние
86,2.3809523809999997,средний,время
87,1.24,ребёнок,компьютер
88,3.086956522,залог,бонд
89,2.090909091,приманка,инструмент
90,1.208333333,приманка,насос
91,2.541666667,хлебопекарня,работа
92,3.0,хлебопекарня,на рабочем место
93,2.6,баланс,датчик
94,1.727272727,мяч,яйцо
95,1.727272727,мяч,гайка
96,2.165217391,мяч,покер
97,4.1428571430000005,мяч,сфера
98,2.954545455,группа,круг
99,1.772727273,бар,игла
100,4.0476190480000005,бар,штанга
101,3.1538461539999996,баррель,галлон
102,1.619047619,база,клуб
103,2.4761904759999998,база,акция
104,3.230769231,бейсбол,софтбол
105,4.076923077,бассейн,судно
106,2.782608696,баскетбол,хоккей
107,2.833333333,баскетбол,сквош
108,2.6818181819999998,ванная комнат,камера
109,4.583333333,битва,бой
110,1.5833333330000001,бухта,просто
111,1.047619048,пляж,цепь
112,2.260869565,пляж,хребет
113,2.961538462,луч,колонка
114,1.92,бить,метр
115,4.3636363639999995,бить,ритм
116,2.136363636,кровать,слой
117,2.136363636,спальня,клетка
118,2.208333333,спальня,строительство
119,4.043478261000001,пчёлка,насекомое
120,4.173913043,говядина,крупный рогатый скот
121,4.619047619,говядина,мясо
122,4.166666667,новичок,новичок
123,2.304347826,поведение,цель
